,tickers
1078,VHL.csv
1079,KCP.csv
1080,GPPL.csv
1081,GOLDENTOBC.csv
1082,ZENSARTECH.csv
1083,ALICON.csv
1084,AGARIND.csv
1085,GMBREW.csv
1086,NAHARSPING.csv
1087,HBSL.csv
1088,CHEMFAB.csv
1089,AMBER.csv
1090,KALYANIFRG.csv
1091,AUTOIND.csv
1092,DABUR.csv
1093,SONATSOFTW.csv
1094,SAKSOFT.csv
1095,ZENITHSTL.csv
1096,ACC.csv
1097,SHAKTIPUMP.csv
1098,INDNIPPON.csv
1099,PRESSMN.csv
1100,MENONBE.csv
1101,QNIFTY.csv
1102,STERTOOLS.csv
1103,TOKYOPLAST.csv
1104,PERSISTENT.csv
1105,DATAMATICS.csv
1106,BIL.csv
1107,KOTAKNIFTY.csv
1108,VIPCLOTHNG.csv
1109,PANACHE.csv
1110,V2RETAIL.csv
1111,NAHARPOLY.csv
1112,ZENTEC.csv
1113,RELIGARE.csv
1114,ADL.csv
1115,SPCENET.csv
1116,ASTERDM.csv
1117,MCX.csv
1118,EIHAHOTELS.csv
1119,BOSCHLTD.csv
1120,APCL.csv
1121,SAREGAMA.csv
1122,ZYDUSWELL.csv
1123,HATHWAY.csv
